X,Y,OBJECTID,CECPlantID,PlantName,EIAPlantID,RPS_Eligible,SmallPlant,Peaker,Small_Hydro,SolarThermal,Pumped_Storage,Pumping_Generating,SelfGeneration,SelfGenerationNAICSID,CoGeneration,CoGenerationNAICSID,NoReport,Retired_Plant,CEC_Jurisdictional,OwnerID,UtilityID,OperatorCompanyID,PreparerCompanyID,Street,City,County,State,Zip,Capacity_Latest,Units,PriEnergySource,LastReportedYear,Lon_WGS84,Lat_WGS84,Annual_Hyperlink,Monthly_Hyperlink,Elevation,Elevation_ft
-117.1193786,32.66997318,11,G0389,Naval Station - Retired December 2003,306,0,0,0,0,0,0,0,0,0,1,928100,1,1,0,Cabrillo Power II LLC (NRG West Coast Inc),San Diego Gas & Electric,NRG Energy,NRG Energy,Bldg. 3427 Surface Navel Boulevard,San Diego,San Diego,CA,92136,0,,,2003,-117.1193905,32.66997793,https://repository.energy.ca.gov/powerplantsgeneration/G0389_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0389_monthly.png,4.76891,15.64603021
-117.189312,32.70475143,12,G0398,North Island - Retired December 2003,307,0,0,0,0,0,0,0,0,0,1,928100,1,1,0,Cabrillo Power II LLC (NRG West Coast Inc),San Diego Gas & Electric,NRG Energy,NRG Energy,Bldg. 370 Rogers St & Quay Road,Coronado,San Diego,CA,92135,0,,,2003,-117.1893239,32.70475619,https://repository.energy.ca.gov/powerplantsgeneration/G0398_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0398_monthly.png,3.520355,11.54972115
-117.1898247,32.70530129,13,G0399,NAS North Island Energy Facility - Retired 9/28/2018,10812,0,0,0,0,0,0,0,1,928100,1,928100,1,1,0,Applied Energy LLC,San Diego Gas & Electric,Applied Energy LLC,Applied Energy LLC,Rogers Road at Quay Street,Coronado,San Diego,CA,92139,0,,,2018,-117.1898366,32.70530605,https://repository.energy.ca.gov/powerplantsgeneration/G0399_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0399_monthly.png,3.603774,11.82340553
-117.1747801,32.72862852,14,G0568,Patio Test Cell Solar Turbines Inc (see G0990 G0991),50070,0,1,0,0,0,0,0,1,333611,0,0,1,1,0,Solar Turbines Incorporated,San Diego Gas & Electric,Solar Turbines Incorporated,Solar Turbines Incorporated,2200 Pacific Highway,San Diego,San Diego,CA,92101,0,,,2001,-117.174792,32.72863328,https://repository.energy.ca.gov/powerplantsgeneration/G0568_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,4.425467,14.51924871
-117.0965729,32.61477838,15,G0571,South Bay Power Plant - Retired December 2010,310,0,0,1,0,0,0,0,0,0,0,0,1,1,0,San Diego Unified Port District (Dynergy),San Diego Gas & Electric,Duke Energy Renewables,Duke Energy North America South Bay,990 Bay Boulevard,Chula Vista,San Diego,CA,91910,0,,,2010,-117.0965848,32.61478313,https://repository.energy.ca.gov/powerplantsgeneration/G0571_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0571_monthly.png,1.829688,6.002913395
-117.122547,32.67929957,16,G0626,Naval Station Energy Facility - Retired 9/28/2018,10811,0,0,0,0,0,0,0,0,0,1,928100,1,1,0,Applied Energy LLC,San Diego Gas & Electric,Applied Energy LLC,Applied Energy LLC,213 Ward Road,San Diego,San Diego,CA,92136,0,,,2018,-117.1225589,32.67930433,https://repository.energy.ca.gov/powerplantsgeneration/G0626_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0626_monthly.png,3.752613,12.31172246
-117.0996566,32.69959877,17,S0395,SDCCD - Skills Center,MISSING,1,1,0,0,0,0,0,0,0,0,0,1,0,0,San Diego Gas & Electric,San Diego Gas & Electric,San Diego Gas & Electric,San Diego Gas & Electric,4343 Ocean View Blvd,San Diego,San Diego,CA,92113,,,,,-117.0996685,32.69960353,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,22.14339,72.64891743
-117.0114059,32.59856104,18,E0061,Otay 1 & 2 Power Station (Retired 12/13/2019),52204,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Otay Landfill Gas LLC,San Diego Gas & Electric,Otay Landfill Gas LLC,Otay Landfill Gas LLC,1600 Maxwell Road,Chula Vista,San Diego,CA,91911,0,,,2019,-117.0114178,32.5985658,https://repository.energy.ca.gov/powerplantsgeneration/E0061_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,87.27765,286.3439965
-117.1468849,32.69459589,19,G0290,CP Kelco - San Diego Plant,52147,0,0,0,0,0,0,0,1,311600,1,311600,0,0,0,C P Kelco,San Diego Gas & Electric,C P Kelco,C P Kelco,2025 East Harbor Drive,San Diego,San Diego,CA,92113,18,"GEN1, GEN2",NG,2021,-117.1468968,32.69460065,https://repository.energy.ca.gov/powerplantsgeneration/G0290_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0290_monthly.png,4.427694,14.52655514
-117.1463022,32.72630689,20,G0388,Naval Hospital Medical Center,50963,0,1,0,0,0,0,0,1,622100,1,622100,0,0,0,Navy Public Works,San Diego Gas & Electric,Navy Public Works,Navy Public Works,Naval Medical Center Building 7,San Diego,San Diego,CA,95134,5.3,1TG,NG,2021,-117.1463141,32.72631165,https://repository.energy.ca.gov/powerplantsgeneration/G0388_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,62.08799,203.7007549
-117.0114096,32.60527852,21,E0300,Otay 3 Power Station (Retired 12/13/2019),52204,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Otay Landfill Gas LLC,San Diego Gas & Electric,Otay Landfill Gas LLC,Otay Landfill Gas LLC,1600 Maxwell Road,Chula Vista,San Diego,CA,91911,0,,,2019,-117.0114215,32.60528327,https://repository.energy.ca.gov/powerplantsgeneration/E0300_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,135.0415,443.0495414
-117.1891303,32.72864542,22,G0175,Division - Retired Dec 2003,300,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Cabrillo Power II LLC (NRG West Coast Inc),San Diego Gas & Electric,NRG Energy,NRG Energy,3200 Harbor Drive,San Diego,San Diego,CA,92113,0,,,2003,-117.1891422,32.72865018,https://repository.energy.ca.gov/powerplantsgeneration/G0175_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0175_monthly.png,4.154708,13.63093178
-117.0996628,32.63211582,23,G0281,UTC Aerospace Systems Cogeneration Plant (Retired 9/29/2018),57713,0,1,0,0,0,0,0,1,336411,1,336411,0,1,0,United Technologies Corporation,San Diego Gas & Electric,Noresco El Colton LLC,United Technologies Corporation,805 Lagoon Drive,Chula Vista,San Diego,CA,91910,0,,,2018,-117.0996747,32.63212057,https://repository.energy.ca.gov/powerplantsgeneration/G0281_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,4.0987,13.4471785
-117.0994893,32.62883644,24,G0505,Rohr Chula Vista Cogeneration Facility,50172,0,1,0,0,0,0,0,0,0,0,0,1,0,0,University Cogeneration Inc,San Diego Gas & Electric,University Technical Services,University Cogeneration Inc,Foot of H Street,Chula Vista,San Diego,CA,91910,,,,,-117.0995012,32.6288412,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,3.298455,10.82170277
-117.1688936,32.71497198,25,G0527,Energy Center San Diego (formerly NRG Energy Inc),54337,0,1,0,0,0,0,0,1,221330,1,221330,0,0,0,Clearway Energy,San Diego Gas & Electric,NRG Energy Center San Diego,NRG Energy Center San Diego,901 Kettner Boulevard,San Diego,San Diego,CA,92101,1.5,"Unit #1, Unit #2",NG,2021,-117.1689055,32.71497674,https://repository.energy.ca.gov/powerplantsgeneration/G0527_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,5.46901,17.94294622
-116.9178334,32.57378213,26,G1025,Pio Pico Energy Center,57555,0,0,1,0,0,0,0,0,,0,0,0,0,1,"Pio Pico Energy Center, LLC",San Diego Gas & Electric,"Pio Pico Energy Center, LLC","Pio Pico Energy Center, LLC",7363 Calzada De La Fuente,San Diego,San Diego,CA,92154,336,"Unit 1A, Unit 1B, Unit 1C",NG,2021,-116.9178453,32.57378689,https://repository.energy.ca.gov/powerplantsgeneration/G1025_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G1025_monthly.png,193.3404,634.3188986
-116.9308778,32.58358179,27,G0477,Richard J Donovan Correctional Facility - Retired 12/31/2007,54936,0,1,0,0,0,0,0,1,922140,1,922140,1,1,0,Richard J Donovan Correctional Facility,San Diego Gas & Electric,Richard J Donovan Correctional Facility,Richard J Donovan Correctional Facility,480 Alta Road,San Diego,San Diego,CA,92179,0,,,2007,-116.9308896,32.58358655,https://repository.energy.ca.gov/powerplantsgeneration/G0477_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,181.9173,596.8415363
-116.9199393,32.5900427,28,S0378,San Diego - Alta Rd. EMDF Canopy,Missing,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Longroad Energy,Southern California Edison (SCE),Longroad Energy,Longroad Energy,446 Alta Rd,San Diego,San Diego,CA,92179,1,1,SUN,2021,-116.9199511,32.59004746,https://repository.energy.ca.gov/powerplantsgeneration/S0378_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,222.2162,729.0557754
-116.9831026,32.54945878,29,S0392,Innovative Cold Storage Enterprises (ICE),MISSING,1,1,0,0,0,0,0,0,0,0,0,1,0,0,San Diego Gas & Electric,San Diego Gas & Electric,San Diego Gas & Electric,San Diego Gas & Electric,7350 Britannia Ct,San Diego,San Diego,CA,,,,,,-116.9831145,32.54946353,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,147.9336,485.3464574
-116.9954737,32.64174429,30,S0399,Southwestern Community College,MISSING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Southwestern Community College,San Diego Gas & Electric,Southwestern Community College,Southwestern Community College,900 OTAY LAKES RD 100,Chula Vista,San Diego,CA,91910,1.14,1,SUN,2021,-116.9954856,32.64174905,https://repository.energy.ca.gov/powerplantsgeneration/S0399_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,148.4988,487.2007881
-116.9133285,32.57356369,31,G0785,Otay Mesa Energy Center,55345,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Otay Mesa Energy Center, LLC",San Diego Gas & Electric,Calpine Corporation - West Region,Calpine Corporation - West Region,606 De La Fuente Court,San Diego,San Diego,CA,92154,689,"OM1CT1, OM1CT2, OM1ST1",NG,2021,-116.9133404,32.57356844,https://repository.energy.ca.gov/powerplantsgeneration/G0785_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0785_monthly.png,203.0155,666.0613527
-116.9442239,32.56710429,32,G0819,Larkspur Energy LLC,55542,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Diamond Generating Corporation,San Diego Gas & Electric,DGC Operations LLC,Diamond Generating Corporation,9355 Otay Mesa Road,San Diego,San Diego,CA,92154,90,"Larkspur1, Larkspur2",NG,2021,-116.9442357,32.56710904,https://repository.energy.ca.gov/powerplantsgeneration/G0819_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0819_monthly.png,165.5247,543.0600402
-116.9434613,32.56246797,33,G0853,Border - CalPeak Power,55510,0,0,1,0,0,0,0,0,0,0,0,0,0,1,CalPeak Power - Border LLC,San Diego Gas & Electric,PIC Energy,CalPeak Power LLC,2060 Sanyo Ave.,San Diego,San Diego,CA,92154,0,,,2021,-116.9434732,32.56247273,https://repository.energy.ca.gov/powerplantsgeneration/G0853_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G0853_monthly.png,161.9171,531.2240822
-116.2720583,32.6631122,34,S9287,LanWest Solar Farm LLC,MISSING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Not Available,San Diego Gas & Electric,Not Available,Not Available,40730 Old Highway 80,Boulevard,San Diego,CA,91905,3.5,Unit 1,SUN,2021,-116.27207,32.663117,https://repository.energy.ca.gov/powerplantsgeneration/S9287_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,1019.131,3343.605648
-116.2600163,32.6651002,35,S9406,LanEast Solar PV LLC - Not Operational,Missing,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Lan East Solar PV LLC,San Diego Gas & Electric,Lan East Solar PV LLC,Lan East Solar PV LLC,2172 McCain Valley Road,Boulevard,San Diego,CA,91905,,,,,-116.260028,32.665105,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,992.5765,3256.484585
-116.2601913,32.6876072,36,S9407,Rugged Solar LLC - Not Operational,Missing,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Rugged Solar LLC,San Diego Gas & Electric,Rugged Solar LLC,Rugged Solar LLC,2553 McCain Valley Road,Boulevard,San Diego,CA,91905,,,,,-116.260203,32.687612,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,1073.9,3523.293969
-116.3237643,32.60948821,37,S9408,Tierra Del Sol Solar Farm LLC - Not Operational,Missing,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Tierra del Sol Solar Farm LLC,San Diego Gas & Electric,Tierra del Sol Solar Farm LLC,Tierra del Sol Solar Farm LLC,796 Tierra del Sol Road,Boulevard,San Diego,CA,91905,,,,,-116.323776,32.609493,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,1112.256,3649.133864
-116.3452375,32.73237086,38,W0359,Kumeyaay Wind Farm,56295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Terra-Gen Operating Company,Southern California Edison (SCE),Terra-Gen Operating Company,Terra-Gen Operating Company,13000 Jameson Road,San Diego,San Diego,CA,91905,50,WPRS 1,WND,2021,-116.3452493,32.73237566,https://repository.energy.ca.gov/powerplantsgeneration/W0359_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/W0359_monthly.png,1397.565,4585.187015
-116.3513562,32.70140732,39,W0390,Golden Acorn Casino,59328,1,1,0,0,0,0,0,0,0,0,0,0,0,0,See WPRS for details,Not Available,See WPRS for details,See WPRS for details,,Campo,San Diego,CA,,1,WPRS 1,WND,2021,-116.351368,32.70141212,https://repository.energy.ca.gov/powerplantsgeneration/W0390_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/W0390_monthly.png,1265.217,4150.974416
-116.1278726,32.62333655,40,S0594,Jacumba Solar Farm,MISSING,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Available,San Diego Gas & Electric,Not Available,Not Available,Old Highway 80,Jacumba Hot Springs,San Diego,CA,91934,20,Unit 1,SUN,2021,-116.1278843,32.62334135,https://repository.energy.ca.gov/powerplantsgeneration/S0594_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/S0594_monthly.png,954.9507,3133.040359
-116.0649991,32.57465126,41,W0460,"Energia Sierra Juarez, S. de R.L. de C.V. (Baja Mexico Wind)",MISSING,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Energia Sierra Juarez S de RL de CV,San Diego Gas & Electric,Energia Sierra Juarez S de RL de CV,Energia Sierra Juarez S de RL de CV,"Carretera Federal No. 2 tramo Rumorosa-Tecate Km. 62+541, Ejido Jacume",Tecate,Tecate,MX,21511,155.1,ESJ_1,WND,2021,-116.0650108,32.57465606,https://repository.energy.ca.gov/powerplantsgeneration/W0460_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/W0460_monthly.png,1301.39,4269.652237
-115.7288429,32.74735707,42,S0258,Campo Verde Solar Project,58467,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Campo Verde Solar LLC,Southern California Edison (SCE),Campo Verde Solar LLC,Campo Verde Solar LLC,1148 Liebert Road,El Centro,Imperial,CA,92249,147.2,CVS1,SUN,2021,-115.7288546,32.74736191,https://repository.energy.ca.gov/powerplantsgeneration/S0258_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/S0258_monthly.png,-11.265,-36.95866147
-115.6277532,32.60103653,43,G9786,Termoelectrica de Mexicali (TDM  Mexicali  Mexico),55719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Termoelectrica de Mexicali S de RL de CV,San Diego Gas & Electric,Termoelectrica de Mexicali S de RL de CV,Termoelectrica de Mexicali S de RL de CV,"Carreta Mexicali - Tijuana, KM. 14.5",Mexicali,Mexicali,MX,0,680.85,"GT-1, GT-2, ST",NG,2021,-115.6277649,32.60104135,https://repository.energy.ca.gov/powerplantsgeneration/G9786_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G9786_monthly.png,7,22.9658793
-115.6295447,32.59824397,44,G9787,La Rosita (INTERGEN  Mexicali  Mexico),Missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Energia Azteca X Sociedad Anonima de Capital Variable,San Diego Gas & Electric,Energia Azteca X Sociedad Anonima de Capital Variable,Energia Azteca X Sociedad Anonima de Capital Variable,Km 12 Carretera Federal No. 2 Mexicali-Tijuana,Mexicali,Mexicali,MX,21610,546.5,"CTG-1C, EBC-CTG_and_STG",NG,2021,-115.6295563,32.59824879,https://repository.energy.ca.gov/powerplantsgeneration/G9787_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/G9787_monthly.png,6.99034,22.93418639
-115.49543,32.701211,45,H0146,Double Weir (<1MW),6367,1,1,0,1,0,0,0,0,0,0,0,1,0,0,Imperial Irrigation District,Imperial Irrigation District,Imperial Irrigation District,Imperial Irrigation District,Highway 111 and Cole Road,Calexico,Imperial,CA,92231,0.28,UNIT 1,WAT,2007,-115.4954416,32.70121585,https://repository.energy.ca.gov/powerplantsgeneration/H0146_annual.png,https://caenergy.maps.arcgis.com/sharing/rest/content/items/844dd0da23874bbda21b0eb7f1d6bab3/data,0,0
-115.6471963,32.68615372,46,S0291,Centinela Solar Energy,58430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LS Power,San Diego Gas & Electric,LS Power,LS Power,319 Brockman Road,Calexico,Imperial,CA,92231,174,"Unit 1, Unit 2",SUN,2021,-115.6472079,32.68615855,https://repository.energy.ca.gov/powerplantsgeneration/S0291_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/S0291_monthly.png,-4.965,-16.2893701
-115.5405687,32.71413847,47,S0298,Heber Solar Facility,58398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,AxInfra US LP,Imperial Irrigation District,AxInfra US LP,AxInfra US LP,855 Dogwood Road,Heber,Imperial,CA,92249,10,Unit 1,SUN,2021,-115.5405803,32.71414332,https://repository.energy.ca.gov/powerplantsgeneration/S0298_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/S0298_monthly.png,-1.412533,-4.634294626
-115.6575682,32.6657934,48,S0440,"Imperial Solar Energy Center West
",57491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Tenaska Inc.,San Diego Gas & Electric,Tenaska Inc.,Tenaska Inc.,3020 West County Road 16,Seeley,Imperial,CA,92273,148.7,Unit 1,SUN,2021,-115.6575799,32.66579823,https://repository.energy.ca.gov/powerplantsgeneration/S0440_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/S0440_monthly.png,-3.765,-12.35236222
-115.5954401,32.67651751,49,S0655,Mount Signal Solar Farm V (IVS 3 LLC),61202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Imperial Valley Solar 3, LLC",Imperial Irrigation District,First Solar Electric (California) LLC,CD Arevon USA Inc.,392 Weed Road,Calexico,Imperial,CA,92231,252.29,Unit 1,SUN,2021,-115.5954517,32.67652235,https://repository.energy.ca.gov/powerplantsgeneration/S0655_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/S0655_monthly.png,-2.274286,-7.461568253
-115.6170636,32.67498596,50,S0687,Wistaria Ranch Solar,61750,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CED California Holdings LLC,Not Available,CED California Holdings LLC,CED California Holdings LLC,300 Rockwood Rd,Calexico,Imperial,CA,92231,100,Unit 1,SUN,2021,-115.6170752,32.6749908,https://repository.energy.ca.gov/powerplantsgeneration/S0687_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/S0687_monthly.png,-3.164632,-10.38265093
-115.6291568,32.66830454,51,S0696,Imperial Valley Solar 2,61353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,D. E. Shaw,,D. E. Shaw,D. E. Shaw,Brockman Road and State Hwy 98,Calexico,Imperial,CA,92231,150,Unit 1,SUN,2021,-115.6291685,32.66830937,https://repository.energy.ca.gov/powerplantsgeneration/S0696_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/S0696_monthly.png,-3.565,-11.69619424
-115.6445389,32.67546748,52,S9174,Silver Ridge Mount Signal (Imperial Valley Solar 1),61353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Available,San Diego Gas & Electric,Not Available,Not Available,HWY 98 and Ferrell & Pulliam Roads,Calexico,Imperial,CA,92243,200,Unit 1,SUN,2021,-115.6445505,32.67547232,https://repository.energy.ca.gov/powerplantsgeneration/S9174_annual.png,https://repository.energy.ca.gov/powerplantsgeneration/S9174_monthly.png,-4.365,-14.32086616
