COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE
Mendocino,2015–2016,Child vs. adult,0–17 years,
Merced,2015–2016,Child vs. adult,0–17 years,
Modoc,2015–2016,Child vs. adult,0–17 years,
Mono,2015–2016,Child vs. adult,0–17 years,
Monterey,2015–2016,Child vs. adult,0–17 years,
Napa,2015–2016,Child vs. adult,0–17 years,
Nevada,2015–2016,Child vs. adult,0–17 years,
Orange,2015–2016,Child vs. adult,0–17 years,0.079875
Placer,2015–2016,Child vs. adult,0–17 years,
Plumas,2015–2016,Child vs. adult,0–17 years,
Riverside,2015–2016,Child vs. adult,0–17 years,0.147808
Sacramento,2015–2016,Child vs. adult,0–17 years,
San Benito,2015–2016,Child vs. adult,0–17 years,
San Bernardino,2015–2016,Child vs. adult,0–17 years,0.118337
San Diego,2015–2016,Child vs. adult,0–17 years,0.065819
San Francisco,2015–2016,Child vs. adult,0–17 years,
San Joaquin,2015–2016,Child vs. adult,0–17 years,
San Luis Obispo,2015–2016,Child vs. adult,0–17 years,
San Mateo,2015–2016,Child vs. adult,0–17 years,
Santa Barbara,2015–2016,Child vs. adult,0–17 years,
Santa Clara,2015–2016,Child vs. adult,0–17 years,
Santa Cruz,2015–2016,Child vs. adult,0–17 years,
Shasta,2015–2016,Child vs. adult,0–17 years,
Sierra,2015–2016,Child vs. adult,0–17 years,
Siskiyou,2015–2016,Child vs. adult,0–17 years,
Solano,2015–2016,Child vs. adult,0–17 years,
Sonoma,2015–2016,Child vs. adult,0–17 years,
Stanislaus,2015–2016,Child vs. adult,0–17 years,
Sutter,2015–2016,Child vs. adult,0–17 years,
Tehama,2015–2016,Child vs. adult,0–17 years,
Trinity,2015–2016,Child vs. adult,0–17 years,
Tulare,2015–2016,Child vs. adult,0–17 years,
Tuolumne,2015–2016,Child vs. adult,0–17 years,
Ventura,2015–2016,Child vs. adult,0–17 years,
Yolo,2015–2016,Child vs. adult,0–17 years,
Yuba,2015–2016,Child vs. adult,0–17 years,
California,2015–2016,Child vs. adult,18+ years,0.08327299999999999
Alameda,2015–2016,Child vs. adult,18+ years,0.07319300000000001
Alpine,2015–2016,Child vs. adult,18+ years,0.101436
Amador,2015–2016,Child vs. adult,18+ years,0.101436
Butte,2015–2016,Child vs. adult,18+ years,0.10622899999999999
Calaveras,2015–2016,Child vs. adult,18+ years,0.101436
Colusa,2015–2016,Child vs. adult,18+ years,0.081386
Contra Costa,2015–2016,Child vs. adult,18+ years,0.092383
Del Norte,2015–2016,Child vs. adult,18+ years,0.10000500000000001
El Dorado,2015–2016,Child vs. adult,18+ years,0.125309
Fresno,2015–2016,Child vs. adult,18+ years,0.11502499999999999
Glenn,2015–2016,Child vs. adult,18+ years,0.081386
Humboldt,2015–2016,Child vs. adult,18+ years,0.119878
Imperial,2015–2016,Child vs. adult,18+ years,0.08882799999999999
Inyo,2015–2016,Child vs. adult,18+ years,0.101436
Kern,2015–2016,Child vs. adult,18+ years,0.122544
Kings,2015–2016,Child vs. adult,18+ years,0.157635
Lake,2015–2016,Child vs. adult,18+ years,0.19135100000000002
Lassen,2015–2016,Child vs. adult,18+ years,0.10000500000000001
Los Angeles,2015–2016,Child vs. adult,18+ years,0.071163
Madera,2015–2016,Child vs. adult,18+ years,0.098663
Marin,2015–2016,Child vs. adult,18+ years,0.073742
Mariposa,2015–2016,Child vs. adult,18+ years,0.101436
Mendocino,2015–2016,Child vs. adult,18+ years,0.085984
Merced,2015–2016,Child vs. adult,18+ years,0.117138
Modoc,2015–2016,Child vs. adult,18+ years,0.10000500000000001
Mono,2015–2016,Child vs. adult,18+ years,0.101436
Monterey,2015–2016,Child vs. adult,18+ years,0.084929
Napa,2015–2016,Child vs. adult,18+ years,0.09564500000000001
Nevada,2015–2016,Child vs. adult,18+ years,0.072411
Orange,2015–2016,Child vs. adult,18+ years,0.06358
Placer,2015–2016,Child vs. adult,18+ years,0.085006
Plumas,2015–2016,Child vs. adult,18+ years,0.10000500000000001
Riverside,2015–2016,Child vs. adult,18+ years,0.084899
Sacramento,2015–2016,Child vs. adult,18+ years,0.10386100000000001
San Benito,2015–2016,Child vs. adult,18+ years,0.06505
San Bernardino,2015–2016,Child vs. adult,18+ years,0.10186
San Diego,2015–2016,Child vs. adult,18+ years,0.072717
San Francisco,2015–2016,Child vs. adult,18+ years,0.090663
San Joaquin,2015–2016,Child vs. adult,18+ years,0.085297
San Luis Obispo,2015–2016,Child vs. adult,18+ years,0.06946
San Mateo,2015–2016,Child vs. adult,18+ years,0.10912699999999999
Santa Barbara,2015–2016,Child vs. adult,18+ years,0.037496
Santa Clara,2015–2016,Child vs. adult,18+ years,0.062261
Santa Cruz,2015–2016,Child vs. adult,18+ years,0.103588
Shasta,2015–2016,Child vs. adult,18+ years,0.09048400000000001
Sierra,2015–2016,Child vs. adult,18+ years,0.10000500000000001
Siskiyou,2015–2016,Child vs. adult,18+ years,0.10000500000000001
Solano,2015–2016,Child vs. adult,18+ years,0.16409500000000002
Sonoma,2015–2016,Child vs. adult,18+ years,0.085505
Stanislaus,2015–2016,Child vs. adult,18+ years,0.128612
Sutter,2015–2016,Child vs. adult,18+ years,0.07940699999999999
Tehama,2015–2016,Child vs. adult,18+ years,0.081386
Trinity,2015–2016,Child vs. adult,18+ years,0.10000500000000001
Tulare,2015–2016,Child vs. adult,18+ years,0.125061
Tuolumne,2015–2016,Child vs. adult,18+ years,0.101436
Ventura,2015–2016,Child vs. adult,18+ years,0.074728
Yolo,2015–2016,Child vs. adult,18+ years,0.078461
Yuba,2015–2016,Child vs. adult,18+ years,0.152782
California,2015–2016,Age groups,0–4 years,0.04453700000000001
Alameda,2015–2016,Age groups,0–4 years,
Alpine,2015–2016,Age groups,0–4 years,
Amador,2015–2016,Age groups,0–4 years,
Butte,2015–2016,Age groups,0–4 years,
Calaveras,2015–2016,Age groups,0–4 years,
Colusa,2015–2016,Age groups,0–4 years,
Contra Costa,2015–2016,Age groups,0–4 years,
Del Norte,2015–2016,Age groups,0–4 years,
El Dorado,2015–2016,Age groups,0–4 years,
Fresno,2015–2016,Age groups,0–4 years,
Glenn,2015–2016,Age groups,0–4 years,
Humboldt,2015–2016,Age groups,0–4 years,
Imperial,2015–2016,Age groups,0–4 years,
Inyo,2015–2016,Age groups,0–4 years,
Kern,2015–2016,Age groups,0–4 years,
Kings,2015–2016,Age groups,0–4 years,
Lake,2015–2016,Age groups,0–4 years,
Lassen,2015–2016,Age groups,0–4 years,
Los Angeles,2015–2016,Age groups,0–4 years,
Madera,2015–2016,Age groups,0–4 years,
Marin,2015–2016,Age groups,0–4 years,
Mariposa,2015–2016,Age groups,0–4 years,
Mendocino,2015–2016,Age groups,0–4 years,
Merced,2015–2016,Age groups,0–4 years,
Modoc,2015–2016,Age groups,0–4 years,
Mono,2015–2016,Age groups,0–4 years,
Monterey,2015–2016,Age groups,0–4 years,
Napa,2015–2016,Age groups,0–4 years,
Nevada,2015–2016,Age groups,0–4 years,
Orange,2015–2016,Age groups,0–4 years,
Placer,2015–2016,Age groups,0–4 years,
Plumas,2015–2016,Age groups,0–4 years,
Riverside,2015–2016,Age groups,0–4 years,
Sacramento,2015–2016,Age groups,0–4 years,
San Benito,2015–2016,Age groups,0–4 years,
San Bernardino,2015–2016,Age groups,0–4 years,
San Diego,2015–2016,Age groups,0–4 years,
San Francisco,2015–2016,Age groups,0–4 years,
San Joaquin,2015–2016,Age groups,0–4 years,
San Luis Obispo,2015–2016,Age groups,0–4 years,
San Mateo,2015–2016,Age groups,0–4 years,
Santa Barbara,2015–2016,Age groups,0–4 years,
Santa Clara,2015–2016,Age groups,0–4 years,
Santa Cruz,2015–2016,Age groups,0–4 years,
Shasta,2015–2016,Age groups,0–4 years,
Sierra,2015–2016,Age groups,0–4 years,
Siskiyou,2015–2016,Age groups,0–4 years,
Solano,2015–2016,Age groups,0–4 years,
Sonoma,2015–2016,Age groups,0–4 years,
Stanislaus,2015–2016,Age groups,0–4 years,
Sutter,2015–2016,Age groups,0–4 years,
Tehama,2015–2016,Age groups,0–4 years,
Trinity,2015–2016,Age groups,0–4 years,
Tulare,2015–2016,Age groups,0–4 years,
Tuolumne,2015–2016,Age groups,0–4 years,
Ventura,2015–2016,Age groups,0–4 years,
Yolo,2015–2016,Age groups,0–4 years,
Yuba,2015–2016,Age groups,0–4 years,
California,2015–2016,Age groups,5–17 years,0.12296099999999999
Alameda,2015–2016,Age groups,5–17 years,0.19374400000000003
Alpine,2015–2016,Age groups,5–17 years,
Amador,2015–2016,Age groups,5–17 years,
Butte,2015–2016,Age groups,5–17 years,
Calaveras,2015–2016,Age groups,5–17 years,
Colusa,2015–2016,Age groups,5–17 years,
Contra Costa,2015–2016,Age groups,5–17 years,
Del Norte,2015–2016,Age groups,5–17 years,
El Dorado,2015–2016,Age groups,5–17 years,
Fresno,2015–2016,Age groups,5–17 years,
Glenn,2015–2016,Age groups,5–17 years,
Humboldt,2015–2016,Age groups,5–17 years,
Imperial,2015–2016,Age groups,5–17 years,0.205074
Inyo,2015–2016,Age groups,5–17 years,
Kern,2015–2016,Age groups,5–17 years,0.236847
Kings,2015–2016,Age groups,5–17 years,
Lake,2015–2016,Age groups,5–17 years,
Lassen,2015–2016,Age groups,5–17 years,
Los Angeles,2015–2016,Age groups,5–17 years,0.13184200000000001
Madera,2015–2016,Age groups,5–17 years,
Marin,2015–2016,Age groups,5–17 years,
Mariposa,2015–2016,Age groups,5–17 years,
Mendocino,2015–2016,Age groups,5–17 years,
Merced,2015–2016,Age groups,5–17 years,
Modoc,2015–2016,Age groups,5–17 years,
Mono,2015–2016,Age groups,5–17 years,
Monterey,2015–2016,Age groups,5–17 years,
Napa,2015–2016,Age groups,5–17 years,
Nevada,2015–2016,Age groups,5–17 years,
Orange,2015–2016,Age groups,5–17 years,
Placer,2015–2016,Age groups,5–17 years,
Plumas,2015–2016,Age groups,5–17 years,
Riverside,2015–2016,Age groups,5–17 years,0.183658
Sacramento,2015–2016,Age groups,5–17 years,
San Benito,2015–2016,Age groups,5–17 years,
San Bernardino,2015–2016,Age groups,5–17 years,0.14585499999999998
San Diego,2015–2016,Age groups,5–17 years,0.08703
San Francisco,2015–2016,Age groups,5–17 years,
San Joaquin,2015–2016,Age groups,5–17 years,
San Luis Obispo,2015–2016,Age groups,5–17 years,
San Mateo,2015–2016,Age groups,5–17 years,
Santa Barbara,2015–2016,Age groups,5–17 years,
Santa Clara,2015–2016,Age groups,5–17 years,
Santa Cruz,2015–2016,Age groups,5–17 years,
Shasta,2015–2016,Age groups,5–17 years,
Sierra,2015–2016,Age groups,5–17 years,
Siskiyou,2015–2016,Age groups,5–17 years,
Solano,2015–2016,Age groups,5–17 years,
Sonoma,2015–2016,Age groups,5–17 years,
Stanislaus,2015–2016,Age groups,5–17 years,
Sutter,2015–2016,Age groups,5–17 years,
Tehama,2015–2016,Age groups,5–17 years,
Trinity,2015–2016,Age groups,5–17 years,
Tulare,2015–2016,Age groups,5–17 years,
Tuolumne,2015–2016,Age groups,5–17 years,
Ventura,2015–2016,Age groups,5–17 years,
Yolo,2015–2016,Age groups,5–17 years,
Yuba,2015–2016,Age groups,5–17 years,
California,2015–2016,Age groups,18–64 years,0.08131500000000001
Alameda,2015–2016,Age groups,18–64 years,0.07093200000000001
Alpine,2015–2016,Age groups,18–64 years,0.090305
Amador,2015–2016,Age groups,18–64 years,0.090305
Butte,2015–2016,Age groups,18–64 years,0.104034
Calaveras,2015–2016,Age groups,18–64 years,0.090305
Colusa,2015–2016,Age groups,18–64 years,0.07309199999999999
Contra Costa,2015–2016,Age groups,18–64 years,0.092878
Del Norte,2015–2016,Age groups,18–64 years,0.10440899999999999
El Dorado,2015–2016,Age groups,18–64 years,0.140413
Fresno,2015–2016,Age groups,18–64 years,0.11042099999999999
Glenn,2015–2016,Age groups,18–64 years,0.07309199999999999
Humboldt,2015–2016,Age groups,18–64 years,0.130996
Imperial,2015–2016,Age groups,18–64 years,0.087143
Inyo,2015–2016,Age groups,18–64 years,0.090305
Kern,2015–2016,Age groups,18–64 years,0.11921
Kings,2015–2016,Age groups,18–64 years,0.165213
Lake,2015–2016,Age groups,18–64 years,0.22869299999999998
Lassen,2015–2016,Age groups,18–64 years,0.10440899999999999
Los Angeles,2015–2016,Age groups,18–64 years,0.068569
Madera,2015–2016,Age groups,18–64 years,0.094115
Marin,2015–2016,Age groups,18–64 years,0.066916
Mariposa,2015–2016,Age groups,18–64 years,0.090305
Mendocino,2015–2016,Age groups,18–64 years,0.096988
Merced,2015–2016,Age groups,18–64 years,0.11329700000000001
Modoc,2015–2016,Age groups,18–64 years,0.10440899999999999
Mono,2015–2016,Age groups,18–64 years,0.090305
Monterey,2015–2016,Age groups,18–64 years,0.06068
Napa,2015–2016,Age groups,18–64 years,0.119651
Nevada,2015–2016,Age groups,18–64 years,0.068403
Orange,2015–2016,Age groups,18–64 years,0.055678
Placer,2015–2016,Age groups,18–64 years,0.092574
Plumas,2015–2016,Age groups,18–64 years,0.10440899999999999
Riverside,2015–2016,Age groups,18–64 years,0.093276
Sacramento,2015–2016,Age groups,18–64 years,0.108525
San Benito,2015–2016,Age groups,18–64 years,
San Bernardino,2015–2016,Age groups,18–64 years,0.103202
San Diego,2015–2016,Age groups,18–64 years,0.073256
San Francisco,2015–2016,Age groups,18–64 years,0.09521
San Joaquin,2015–2016,Age groups,18–64 years,0.08280099999999999
San Luis Obispo,2015–2016,Age groups,18–64 years,0.053514
San Mateo,2015–2016,Age groups,18–64 years,0.10380800000000001
Santa Barbara,2015–2016,Age groups,18–64 years,0.030314
Santa Clara,2015–2016,Age groups,18–64 years,0.057861
Santa Cruz,2015–2016,Age groups,18–64 years,0.075758
Shasta,2015–2016,Age groups,18–64 years,0.100551
Sierra,2015–2016,Age groups,18–64 years,0.10440899999999999
Siskiyou,2015–2016,Age groups,18–64 years,0.10440899999999999
Solano,2015–2016,Age groups,18–64 years,0.16048300000000001
Sonoma,2015–2016,Age groups,18–64 years,0.091276
Stanislaus,2015–2016,Age groups,18–64 years,0.113846
Sutter,2015–2016,Age groups,18–64 years,0.066153
Tehama,2015–2016,Age groups,18–64 years,0.07309199999999999
Trinity,2015–2016,Age groups,18–64 years,0.10440899999999999
Tulare,2015–2016,Age groups,18–64 years,0.122569
Tuolumne,2015–2016,Age groups,18–64 years,0.090305
Ventura,2015–2016,Age groups,18–64 years,0.069868
Yolo,2015–2016,Age groups,18–64 years,
Yuba,2015–2016,Age groups,18–64 years,0.14313900000000002
California,2015–2016,Age groups,65+ years,0.092416
Alameda,2015–2016,Age groups,65+ years,
Alpine,2015–2016,Age groups,65+ years,0.13303900000000002
Amador,2015–2016,Age groups,65+ years,0.13303900000000002
Butte,2015–2016,Age groups,65+ years,0.116067
Calaveras,2015–2016,Age groups,65+ years,0.13303900000000002
Colusa,2015–2016,Age groups,65+ years,
Contra Costa,2015–2016,Age groups,65+ years,0.09053599999999999
Del Norte,2015–2016,Age groups,65+ years,0.087472
El Dorado,2015–2016,Age groups,65+ years,
Fresno,2015–2016,Age groups,65+ years,0.1392
Glenn,2015–2016,Age groups,65+ years,
Humboldt,2015–2016,Age groups,65+ years,
Imperial,2015–2016,Age groups,65+ years,
Inyo,2015–2016,Age groups,65+ years,0.13303900000000002
Kern,2015–2016,Age groups,65+ years,0.13897700000000002
Kings,2015–2016,Age groups,65+ years,0.10886900000000001
Lake,2015–2016,Age groups,65+ years,0.10798500000000001
Lassen,2015–2016,Age groups,65+ years,0.087472
Los Angeles,2015–2016,Age groups,65+ years,0.084254
Madera,2015–2016,Age groups,65+ years,0.12193199999999998
Marin,2015–2016,Age groups,65+ years,0.094771
Mariposa,2015–2016,Age groups,65+ years,0.13303900000000002
Mendocino,2015–2016,Age groups,65+ years,0.056012000000000006
Merced,2015–2016,Age groups,65+ years,0.138683
Modoc,2015–2016,Age groups,65+ years,0.087472
Mono,2015–2016,Age groups,65+ years,0.13303900000000002
Monterey,2015–2016,Age groups,65+ years,
Napa,2015–2016,Age groups,65+ years,0.044587
Nevada,2015–2016,Age groups,65+ years,
Orange,2015–2016,Age groups,65+ years,0.108408
Placer,2015–2016,Age groups,65+ years,0.067222
Plumas,2015–2016,Age groups,65+ years,0.087472
Riverside,2015–2016,Age groups,65+ years,0.054339000000000005
Sacramento,2015–2016,Age groups,65+ years,0.079874
San Benito,2015–2016,Age groups,65+ years,
San Bernardino,2015–2016,Age groups,65+ years,0.093909
San Diego,2015–2016,Age groups,65+ years,0.070188
San Francisco,2015–2016,Age groups,65+ years,
San Joaquin,2015–2016,Age groups,65+ years,0.099482
San Luis Obispo,2015–2016,Age groups,65+ years,
San Mateo,2015–2016,Age groups,65+ years,0.13052
Santa Barbara,2015–2016,Age groups,65+ years,0.066294
Santa Clara,2015–2016,Age groups,65+ years,0.08281100000000001
Santa Cruz,2015–2016,Age groups,65+ years,0.223584
Shasta,2015–2016,Age groups,65+ years,
Sierra,2015–2016,Age groups,65+ years,0.087472
Siskiyou,2015–2016,Age groups,65+ years,0.087472
Solano,2015–2016,Age groups,65+ years,0.18119700000000002
Sonoma,2015–2016,Age groups,65+ years,0.064453
Stanislaus,2015–2016,Age groups,65+ years,0.206124
Sutter,2015–2016,Age groups,65+ years,0.13242800000000002
Tehama,2015–2016,Age groups,65+ years,
Trinity,2015–2016,Age groups,65+ years,0.087472
Tulare,2015–2016,Age groups,65+ years,0.137628
Tuolumne,2015–2016,Age groups,65+ years,0.13303900000000002
Ventura,2015–2016,Age groups,65+ years,0.097919
Yolo,2015–2016,Age groups,65+ years,
Yuba,2015–2016,Age groups,65+ years,
California,2017–2018,Total population,All ages,0.088228
Alameda,2017–2018,Total population,All ages,0.087699
Alpine,2017–2018,Total population,All ages,0.135805
Amador,2017–2018,Total population,All ages,0.135805
Butte,2017–2018,Total population,All ages,0.11003299999999999
Calaveras,2017–2018,Total population,All ages,0.135805
Colusa,2017–2018,Total population,All ages,0.11759499999999999
Contra Costa,2017–2018,Total population,All ages,0.117723
Del Norte,2017–2018,Total population,All ages,0.132319
El Dorado,2017–2018,Total population,All ages,0.066998
Fresno,2017–2018,Total population,All ages,0.132613
Glenn,2017–2018,Total population,All ages,0.11759499999999999
Humboldt,2017–2018,Total population,All ages,0.116227
Imperial,2017–2018,Total population,All ages,0.114392
Inyo,2017–2018,Total population,All ages,0.135805
Kern,2017–2018,Total population,All ages,0.099321
Kings,2017–2018,Total population,All ages,0.10276999999999999
Lake,2017–2018,Total population,All ages,0.09555
Lassen,2017–2018,Total population,All ages,0.132319
Los Angeles,2017–2018,Total population,All ages,0.079246
Madera,2017–2018,Total population,All ages,0.11811999999999999
Marin,2017–2018,Total population,All ages,0.063667
Mariposa,2017–2018,Total population,All ages,0.135805
Mendocino,2017–2018,Total population,All ages,0.05292500000000001
Merced,2017–2018,Total population,All ages,0.098231
Modoc,2017–2018,Total population,All ages,0.132319
Mono,2017–2018,Total population,All ages,0.135805
Monterey,2017–2018,Total population,All ages,0.053377
Napa,2017–2018,Total population,All ages,0.137846
Nevada,2017–2018,Total population,All ages,0.094061
Orange,2017–2018,Total population,All ages,0.057015
Placer,2017–2018,Total population,All ages,0.07909
Plumas,2017–2018,Total population,All ages,0.132319
Riverside,2017–2018,Total population,All ages,0.09070299999999999
Sacramento,2017–2018,Total population,All ages,0.11411199999999999
San Benito,2017–2018,Total population,All ages,
San Bernardino,2017–2018,Total population,All ages,0.096144
San Diego,2017–2018,Total population,All ages,0.085274
San Francisco,2017–2018,Total population,All ages,0.06842
San Joaquin,2017–2018,Total population,All ages,0.125944
San Luis Obispo,2017–2018,Total population,All ages,0.054151
San Mateo,2017–2018,Total population,All ages,0.09491300000000001
Santa Barbara,2017–2018,Total population,All ages,
Santa Clara,2017–2018,Total population,All ages,0.094536
Santa Cruz,2017–2018,Total population,All ages,0.083461
Shasta,2017–2018,Total population,All ages,0.069072
Sierra,2017–2018,Total population,All ages,0.132319
Siskiyou,2017–2018,Total population,All ages,0.132319
Solano,2017–2018,Total population,All ages,0.124882
Sonoma,2017–2018,Total population,All ages,0.120786
Stanislaus,2017–2018,Total population,All ages,0.08129099999999999
Sutter,2017–2018,Total population,All ages,0.159796
Tehama,2017–2018,Total population,All ages,0.11759499999999999
Trinity,2017–2018,Total population,All ages,0.132319
Tulare,2017–2018,Total population,All ages,0.09493399999999999
Tuolumne,2017–2018,Total population,All ages,0.135805
Ventura,2017–2018,Total population,All ages,0.066444
Yolo,2017–2018,Total population,All ages,0.112997
Yuba,2017–2018,Total population,All ages,0.138293
California,2017–2018,Child vs. adult,0–17 years,0.080354
Alameda,2017–2018,Child vs. adult,0–17 years,0.095354
Alpine,2017–2018,Child vs. adult,0–17 years,
Amador,2017–2018,Child vs. adult,0–17 years,
Butte,2017–2018,Child vs. adult,0–17 years,
Calaveras,2017–2018,Child vs. adult,0–17 years,
Colusa,2017–2018,Child vs. adult,0–17 years,
Contra Costa,2017–2018,Child vs. adult,0–17 years,
Del Norte,2017–2018,Child vs. adult,0–17 years,
El Dorado,2017–2018,Child vs. adult,0–17 years,
Fresno,2017–2018,Child vs. adult,0–17 years,
Glenn,2017–2018,Child vs. adult,0–17 years,
Humboldt,2017–2018,Child vs. adult,0–17 years,
Imperial,2017–2018,Child vs. adult,0–17 years,
Inyo,2017–2018,Child vs. adult,0–17 years,
Kern,2017–2018,Child vs. adult,0–17 years,
Kings,2017–2018,Child vs. adult,0–17 years,
Lake,2017–2018,Child vs. adult,0–17 years,
Lassen,2017–2018,Child vs. adult,0–17 years,
Los Angeles,2017–2018,Child vs. adult,0–17 years,0.07376
Madera,2017–2018,Child vs. adult,0–17 years,
Marin,2017–2018,Child vs. adult,0–17 years,
Mariposa,2017–2018,Child vs. adult,0–17 years,
Mendocino,2017–2018,Child vs. adult,0–17 years,
Merced,2017–2018,Child vs. adult,0–17 years,
Modoc,2017–2018,Child vs. adult,0–17 years,
Mono,2017–2018,Child vs. adult,0–17 years,
Monterey,2017–2018,Child vs. adult,0–17 years,
Napa,2017–2018,Child vs. adult,0–17 years,
Nevada,2017–2018,Child vs. adult,0–17 years,
Orange,2017–2018,Child vs. adult,0–17 years,
Placer,2017–2018,Child vs. adult,0–17 years,
Plumas,2017–2018,Child vs. adult,0–17 years,
Riverside,2017–2018,Child vs. adult,0–17 years,0.10615999999999999
Sacramento,2017–2018,Child vs. adult,0–17 years,0.061242
San Benito,2017–2018,Child vs. adult,0–17 years,
San Bernardino,2017–2018,Child vs. adult,0–17 years,
San Diego,2017–2018,Child vs. adult,0–17 years,0.06718
San Francisco,2017–2018,Child vs. adult,0–17 years,
San Joaquin,2017–2018,Child vs. adult,0–17 years,
San Luis Obispo,2017–2018,Child vs. adult,0–17 years,
San Mateo,2017–2018,Child vs. adult,0–17 years,
Santa Barbara,2017–2018,Child vs. adult,0–17 years,
Santa Clara,2017–2018,Child vs. adult,0–17 years,0.121189
Santa Cruz,2017–2018,Child vs. adult,0–17 years,
Shasta,2017–2018,Child vs. adult,0–17 years,
Sierra,2017–2018,Child vs. adult,0–17 years,
Siskiyou,2017–2018,Child vs. adult,0–17 years,
Solano,2017–2018,Child vs. adult,0–17 years,
Sonoma,2017–2018,Child vs. adult,0–17 years,
Stanislaus,2017–2018,Child vs. adult,0–17 years,
Sutter,2017–2018,Child vs. adult,0–17 years,
Tehama,2017–2018,Child vs. adult,0–17 years,
Trinity,2017–2018,Child vs. adult,0–17 years,
